x,ABP
12.5,81.919
12.52,81.363
12.540000000000001,80.817
12.56,80.28
12.58,87.985
12.6,99.088
12.62,108.448
12.640000000000002,115.336
12.66,119.182
12.68,119.609
12.7,116.553
12.719999999999999,110.202
12.740000000000002,104.796
12.760000000000002,103.336
12.780000000000001,101.757
12.8,100.184
12.82,98.831
12.840000000000002,97.746
12.860000000000001,96.837
12.88,95.987
12.9,95.13
12.92,94.259
12.940000000000001,93.398
12.96,92.568
12.98,91.772
13,91.006
13.02,90.26
13.040000000000001,89.529
13.06,88.813
13.08,88.112
13.1,87.427
13.12,86.759
13.140000000000002,86.106
13.16,85.467
13.18,84.842
13.2,84.228
13.219999999999999,83.628
13.240000000000002,83.039
13.260000000000002,82.462
13.280000000000001,81.895
13.3,81.339
13.32,80.794
13.340000000000002,80.258
13.360000000000001,88.432
13.38,99.493
13.4,108.767
13.42,115.547
13.440000000000001,119.264
13.46,119.554
13.48,116.365
13.5,109.892
13.52,104.734
13.540000000000001,103.278
13.56,101.695
13.58,100.127
13.6,98.784
13.62,97.708
13.640000000000002,96.803
13.66,95.954
13.68,95.096
13.7,94.225
13.719999999999999,93.365
13.740000000000002,92.536
13.760000000000002,91.742
13.780000000000001,90.976
13.8,90.231
13.82,89.501
13.840000000000002,88.785
13.860000000000001,88.084
13.88,87.401
13.9,86.733
13.92,86.08
13.940000000000001,85.442
13.96,84.817
13.98,84.204
14,83.604
14.02,83.016
14.040000000000001,82.439
14.06,81.873
14.08,81.317
14.1,80.772
14.12,80.236
14.140000000000002,88.877
14.16,99.893
14.18,109.081
14.2,115.752
14.219999999999999,119.341
14.240000000000002,119.494
14.260000000000002,116.172
14.280000000000001,109.578
14.3,104.673
14.32,103.219
14.340000000000002,101.632
14.360000000000001,100.069
14.38,98.738
14.4,97.67
14.42,96.769
14.440000000000001,95.92
14.46,95.062
14.48,94.191
14.5,93.332
14.52,92.504
14.540000000000001,91.711
14.56,90.947
14.58,90.202
14.6,89.472
14.62,88.757
14.640000000000002,88.057
14.66,87.374
14.68,86.707
14.7,86.055
14.719999999999999,85.417
14.740000000000002,84.792
14.760000000000002,84.18
14.780000000000001,83.58
14.8,82.992
14.82,82.416
14.840000000000002,81.85
14.860000000000001,81.295
14.88,80.75
14.9,80.275
14.92,89.322
14.940000000000001,100.291
14.96,109.392
14.98,115.953
15,119.412
15.02,119.429
15.040000000000001,115.975
15.06,109.259
15.08,104.611
15.1,103.158
15.12,101.567
15.140000000000002,100.01
15.16,98.69
15.18,97.631
15.2,96.734
15.219999999999999,95.886
15.240000000000002,95.026
15.260000000000002,94.156
15.280000000000001,93.297
15.3,92.471
15.32,91.679
15.340000000000002,90.916
15.360000000000001,90.172
15.38,89.443
15.4,88.728
15.42,88.028
15.440000000000001,87.346
15.46,86.679
15.48,86.028
15.5,85.391
15.52,84.767
15.540000000000001,84.155
15.56,83.556
15.58,82.968
15.6,82.392
15.62,81.827
15.640000000000002,81.272
15.66,80.727
15.68,80.386
15.7,89.77
15.719999999999999,100.686
15.740000000000002,109.7
15.760000000000002,116.149
15.780000000000001,119.479
15.8,119.359
15.82,115.772
15.840000000000002,108.935
15.860000000000001,104.555
15.88,103.1
15.9,101.505
15.92,99.955
15.940000000000001,98.645
15.96,97.595
15.98,96.702
16,95.853
16.02,94.993
16.040000000000003,94.123
16.060000000000002,93.265
16.080000000000002,92.44
16.1,91.65
16.12,90.887
16.14,90.144
16.16,89.415
16.18,88.701
16.2,88.002
16.22,87.32
16.240000000000002,86.654
16.26,86.003
16.28,85.366
16.3,84.743
16.32,84.131
16.34,83.533
16.36,82.945
16.38,82.37
16.4,81.805
16.419999999999998,81.251
16.44,80.706
16.46,80.497
16.48,90.214
16.5,101.077
16.52,110.003
16.540000000000003,116.34
16.560000000000002,119.54
16.580000000000002,119.284
16.6,115.565
16.62,108.608
16.64,104.496
16.66,103.039
16.68,101.441
16.7,99.897
16.72,98.599
16.740000000000002,97.557
16.76,96.667
16.78,95.819
16.8,94.958
16.82,94.087
16.84,93.231
16.86,92.407
16.88,91.618
16.9,90.856
16.919999999999998,90.114
16.94,89.385
16.96,88.672
16.98,87.974
17,87.292
17.02,86.627
17.040000000000003,85.977
17.060000000000002,85.341
17.080000000000002,84.717
17.1,84.107
17.12,83.508
17.14,82.921
17.16,82.346
17.18,81.782
17.2,81.228
17.22,80.684
17.240000000000002,80.697
17.26,90.661
17.28,101.467
17.3,110.302
17.32,116.527
17.34,119.595
17.36,119.202
17.38,115.353
17.4,108.275
17.419999999999998,104.439
17.44,102.979
17.46,101.378
17.48,99.842
17.5,98.553
17.52,97.52
17.540000000000003,96.634
17.560000000000002,95.785
17.580000000000002,94.924
17.6,94.053
17.62,93.198
17.64,92.376
17.66,91.588
17.68,90.827
17.7,90.085
17.72,89.357
17.740000000000002,88.644
17.76,87.946
17.78,87.266
17.8,86.601
17.82,85.951
17.84,85.316
17.86,84.693
17.88,84.083
17.9,83.484
17.919999999999998,82.898
17.94,82.323
17.96,81.759
17.98,81.206
18,80.662
18.02,80.908
18.040000000000003,91.106
18.060000000000002,101.852
18.080000000000002,110.598
18.1,116.708
18.12,119.646
18.14,119.116
18.16,115.136
18.18,107.939
18.2,104.384
18.22,102.919
18.240000000000002,101.316
18.26,99.787
18.28,98.509
18.3,97.484
18.32,96.601
18.34,95.753
18.36,94.89
18.38,94.02
18.4,93.166
